date,aggregate,AHU0,AHU1,AHU2,AHU5
2014-06-02 07:57:00+00:00,40863.60156,2407.157389,2615.899731,4220.817806,9755.096094
2014-06-02 07:57:30+00:00,40862.79766,2412.908895,2490.235449,4142.751953,9764.657031
2014-06-02 07:58:00+00:00,41663.39896,2449.9705,2534.670483,4176.524349,9745.637109
2014-06-02 07:58:30+00:00,43625.39688,2431.395589,2542.008203,4190.505697,9686.494727
2014-06-02 07:59:00+00:00,41565.55,2422.293579,2445.061279,4133.414974,9678.363477
2014-06-02 07:59:30+00:00,41928.51576,2414.416178,2446.266357,4064.193262,9769.230664
2014-06-02 08:00:00+00:00,41315.74076,2414.371867,2431.833594,4139.058757,9794.44707
2014-06-02 08:00:30+00:00,41524.90859,2422.28951,2501.076196,4158.238216,9799.034766
2014-06-02 08:01:00+00:00,41893.44622,2421.837524,2475.099609,4170.288867,9761.519141
2014-06-02 08:01:30+00:00,40384.75872,2420.357625,2474.5118,4183.378564,9791.31888
2014-06-02 08:02:00+00:00,41451.06523,2420.375244,2520.854248,4151.734277,9838.209635
2014-06-02 08:02:30+00:00,41892.53945,2413.993799,2531.599121,4113.151807,9826.401302
2014-06-02 08:03:00+00:00,42021.07383,2413.652148,2520.772705,4078.358691,9849.150293
2014-06-02 08:03:30+00:00,43869.12005,2408.241113,2535.575846,4169.645313,9839.369987
2014-06-02 08:04:00+00:00,40934.9724,2416.36709,2488.020589,4159.462988,9807.447396
2014-06-02 08:04:30+00:00,39886.47917,2418.055029,2482.47819,4138.500293,9817.709928
2014-06-02 08:05:00+00:00,41356.34753,2418.80249,2543.155762,4144.500586,9778.654102
2014-06-02 08:05:30+00:00,42516.57969,2422.895898,2484.616292,4134.054102,9785.772591
2014-06-02 08:06:00+00:00,41349.51172,2423.094385,2532.899821,4174.885059,9826.978874
2014-06-02 08:06:30+00:00,40890.32578,2419.248096,2526.942383,4214.563867,9784.539258
2014-06-02 08:07:00+00:00,40865.14531,2420.732715,2536.054688,4175.262256,9796.594141
2014-06-02 08:07:30+00:00,40592.44375,2418.0354,2556.130371,4182.897119,9782.503353
2014-06-02 08:08:00+00:00,40606.78672,2418.191455,2549.482422,4152.811035,9779.027832
2014-06-02 08:08:30+00:00,39980.21328,2417.198177,2533.321436,4140.092773,9797.825456
2014-06-02 08:09:00+00:00,40928.14609,2427.397957,2507.244027,4171.020508,9777.922396
2014-06-02 08:09:30+00:00,44003.43203,2426.795215,2496.18763,4134.738444,9750.514909
2014-06-02 08:10:00+00:00,42027.40938,2410.08387,2515.278719,4107.279948,9704.805208
2014-06-02 08:10:30+00:00,41023.87813,2429.537557,2499.336702,4109.389974,9721.17832
2014-06-02 08:11:00+00:00,40076.39297,2409.231616,2505.6455,4155.957845,9813.903451
2014-06-02 08:11:30+00:00,41207.35469,2411.699406,2532.17391,4127.30013,9830.182682
2014-06-02 08:12:00+00:00,42958.14453,2429.018701,2582.280949,4100.078613,9803.352083
2014-06-02 08:12:30+00:00,40606.77891,2414.443075,2538.727938,4150.232422,9797.26276
2014-06-02 08:13:00+00:00,44157.43424,2399.448511,2450.313371,4185.140137,9781.240755
2014-06-02 08:13:30+00:00,41341.24154,2413.450317,2427.594287,4166.363607,9785.669596
2014-06-02 08:14:00+00:00,42051.13867,2421.169246,2479.198324,4157.292969,9796.191016
2014-06-02 08:14:30+00:00,42057.85612,2417.312158,2480.328947,4170.155599,9795.509766
2014-06-02 08:15:00+00:00,44033.07292,2415.235742,2489.498145,4111.666846,9806.622559
2014-06-02 08:15:30+00:00,40205.52865,2415.609749,2500.483301,4091.738965,9779.407227
2014-06-02 08:16:00+00:00,43013.89193,2406.630599,2516.701074,4136.291878,9783.050781
2014-06-02 08:16:30+00:00,39247.04492,2422.587891,2515.530908,4166.259505,9825.39209
2014-06-02 08:17:00+00:00,40090.09635,2403.584831,2506.801465,4115.323755,9823.364258
2014-06-02 08:17:30+00:00,43113.25391,2399.588232,2568.393164,4065.171623,9882.137695
2014-06-02 08:18:00+00:00,45369.95378,2382.865186,2670.007666,4091.326823,9905.438477
2014-06-02 08:18:30+00:00,43858.62695,2400.164063,2597.240039,4065.44694,9909.38916
2014-06-02 08:19:00+00:00,41115.16016,2393.106364,2584.703955,4161.111507,9795.633301
2014-06-02 08:19:30+00:00,40357.59635,2417.854688,2374.996777,4131.342708,9767.90332
2014-06-02 08:20:00+00:00,41795.8457,2428.775846,2216.827555,4129.259961,9891.151693
2014-06-02 08:20:30+00:00,41047.10221,2398.868164,2522.700374,4105.231152,9891.618099
2014-06-02 08:21:00+00:00,39480.98698,2391.933325,2695.127319,4144.616992,9884.586654
2014-06-02 08:21:30+00:00,40901.64714,2414.423706,2608.742155,4212.429785,9824.863867
2014-06-02 08:22:00+00:00,42644.52344,2415.405591,2564.891724,4153.10332,9740.20638
